1	946	3.58057
1	961	2.08515
1	972	2.50564
1	979	2.64384
1	988	3.07013
1	990	3.17236
1	992	3.20029
2	419	0.743065
2	591	1.16219
2	685	1.67998
2	769	2.76818
2	821	3.28645
2	830	3.4756
2	836	3.55285
3	44	1.52893
3	160	0.946379
3	537	2.73131
3	719	3.38617
3	762	1.54464
3	772	3.73515
3	825	4.3404
4	42	1.85203
4	645	0.745982
4	726	1.42913
4	876	3.17259
4	881	3.31848
4	918	3.68833
4	940	4.31473
5	827	1.26854
5	873	2.20588
5	884	2.59828
5	903	3.12177
5	919	2.32803
5	949	3.70358
5	960	3.77378
6	705	0.584397
6	806	2.10187
6	869	2.99893
6	881	3.20599
6	918	3.57584
6	940	4.20224
6	987	1.21708
7	191	1.19292
7	580	2.31068
7	617	2.44712
7	735	2.80848
7	839	3.71963
7	878	4.18944
7	993	7.6877
8	98	1.85203
8	251	0.872311
8	355	1.45607
8	519	2.40395
8	763	3.62111
8	792	3.97184
8	817	4.34288
9	466	0.368521
9	602	0.683488
9	872	2.24775
9	895	3.44233
9	904	3.72809
9	929	4.13221
9	946	4.31383
10	304	1.84723
10	356	1.67347
10	523	2.33417
10	659	3.1459
10	764	3.62694
10	798	4.0404
10	978	3.9862
11	25	0.77167
11	514	1.01294
11	611	0.744991
11	683	6.4
11	934	4.20897
11	968	4.61944
11	984	5.30624
12	190	2.26274
12	781	0.993631
12	841	2.27953
12	901	3.10942
12	907	3.41595
12	912	3.22673
12	921	3.64419
13	91	0.0575867
13	501	1.32227
13	777	2.14612
13	814	3.20632
13	819	2.67011
13	870	3.19479
13	926	4.07109
14	430	0.910152
14	489	0.900618
14	727	2.85464
14	810	3.64573
14	834	4.02183
14	860	4.33523
14	897	1.50405
15	63	2.07991
15	224	1.47423
15	542	1.44548
15	552	3.33215
15	565	3.10108
15	618	3.44787
15	638	3.23292
16	741	0.0829931
16	859	0.967043
16	948	2.39567
16	964	2.96096
16	974	2.88744
16	982	3.41944
16	997	3.98174
17	52	0.533686
17	94	1.35181
17	658	2.82535
17	668	2.94594
17	714	2.64704
17	716	3.04076
17	802	3.32366
18	908	0.975779
18	943	1.76816
18	948	1.94569
18	964	2.51098
18	982	2.96946
18	983	3.00199
18	997	3.53176
19	308	0.196715
19	791	1.5403
19	895	3.27114
19	904	3.55691
19	924	2.13968
19	929	3.96103
19	946	4.14264
20	283	0.246026
20	583	1.44245
20	610	2.07404
20	625	2.08531
20	762	3.01994
20	852	3.8626
20	853	3.93791
21	744	1.164
21	846	2.11058
21	882	2.85188
21	911	3.43573
21	913	3.59656
21	924	3.50947
21	992	5.00909
22	720	2.41553
22	721	1.94085
22	805	2.58407
22	814	3.1331
22	819	2.59689
22	841	3.74998
22	926	3.99788
23	459	2.29514
23	467	1.81787
23	479	1.79701
23	757	3.22936
23	792	3.57894
23	817	3.94999
23	821	1.89162
24	331	0.458022
24	550	1.96262
24	625	2.45822
24	684	1.79086
24	742	2.86867
24	853	4.31082
24	902	4.61
25	11	0.77167
25	417	0.0125864
25	864	2.12036
25	879	2.38179
25	939	3.42303
25	963	4.04089
25	968	3.91198
